RA ,DEC, BMAG, D
201.8671 ,-45.3525 ,17.70 ,    3.60
 53.9867 ,-45.1914 ,16.13 ,    7.98
200.4462 ,-45.0633 ,16.14 ,    3.98
220.8562 ,-44.7053 ,14.79 ,    5.88
 27.7763 ,-44.4447 ,13.72 ,    0.44
191.0896 ,-42.9397 ,17.30 ,    3.60
 74.2446 ,-42.8039 ,14.46 ,    7.20
206.2533 ,-41.8589 ,14.02 ,    3.40
  6.6387 ,-41.8556 ,15.53 ,    1.92
 99.8871 ,-40.7203 ,16.05 ,    7.65
196.2621 ,-40.0828 ,16.33 ,    5.78
 47.5438 ,-40.0031 ,15.57 ,    8.80
204.3546 ,-39.8978 ,16.50 ,    4.83
174.4725 ,-39.2206 ,15.85 ,    6.08
183.4567 ,-38.2314 ,15.21 ,    3.18
 17.0917 ,-38.2092 ,16.26 ,    8.20
207.1413 ,-37.9675 ,17.60 ,    5.75
357.3475 ,-37.7736 ,14.81 ,   11.50
353.7671 ,-37.2206 ,16.64 ,    7.80
160.8629 ,-37.0425 ,15.53 ,    7.10
136.5000 ,-36.0600 ,17.40 ,    7.93
191.1779 ,-35.9667 ,15.72 ,    5.32
181.2363 ,-35.7431 ,16.58 ,    4.88
  2.0554 ,-34.5783 ,15.71 ,    3.21
191.5017 ,-33.8381 ,14.44 ,    5.45
150.3900 , -6.5250 ,16.10 ,    9.70
148.7937 , -6.2700 ,15.14 ,    9.70
193.3817 , -5.9278 ,17.00 ,   10.40
194.7067 , -4.8886 ,15.26 ,    6.50
152.7533 , -4.6928 ,11.86 ,    1.32
105.1221 , -4.2083 ,18.00 ,    1.67
166.3958 , -1.8636 ,16.45 ,   10.70
166.5321 , -1.4486 ,18.20 ,   10.70
188.2833 , -0.5331 ,16.40 ,    8.11
145.1125 ,  0.0425 ,17.20 ,   10.00
166.1692 ,  0.0583 ,17.51 ,   10.70
155.4121 ,  0.9000 ,17.50 ,    6.78
 16.1992 ,  2.1333 , 9.88 ,    0.73
186.4221 ,  2.1589 ,15.20 ,   10.60
192.4458 ,  3.8422 ,16.20 ,    9.40
159.7421 ,  3.8742 ,19.70 ,   26.20
208.6400 ,  4.2431 ,16.88 ,    2.59
160.0446 ,  4.9089 ,20.00 ,   20.90
137.1525 ,  5.2922 ,17.05 ,    5.60
150.0004 ,  5.3322 ,11.85 ,    1.36
183.6467 ,  5.6772 ,16.16 ,    8.20
185.6604 ,  6.0144 ,15.86 ,    9.60
157.6846 ,  6.1272 ,16.80 ,    7.80
184.9754 ,  6.6658 ,16.67 ,    4.71
190.0433 ,  6.8469 ,16.40 ,    8.10
 89.4029 ,  7.4919 ,18.40 ,    5.50
117.5904 ,  7.7944 ,18.00 ,    6.00
187.5042 ,  7.9294 ,14.90 ,    5.20
 97.5375 ,  8.3769 , 0.00 ,    3.55
187.1413 ,  8.6397 ,14.90 ,    4.60
183.9842 ,  9.6492 ,16.67 ,    9.40
114.0429 ,  9.9864 ,17.90 ,    6.10
191.5637 , 10.2033 ,15.80 ,    7.40
163.2529 , 10.3792 ,18.30 ,   10.40
108.4658 , 10.5219 ,14.07 ,    7.41
162.4046 , 11.3517 ,18.00 ,   10.40
158.7337 , 11.4922 ,17.50 ,   10.40
161.0325 , 11.5331 ,18.50 ,   10.40
166.1104 , 11.7550 ,16.20 ,   10.40
161.2400 , 11.9161 ,17.43 ,   10.40
194.1808 , 11.9311 ,15.97 ,    6.49
164.0583 , 12.0103 ,16.90 ,   10.40
160.9808 , 12.1353 ,19.20 ,   10.40
163.9879 , 12.3389 ,18.40 ,   10.40
159.9304 , 12.6344 ,16.77 ,   10.40
168.6875 , 12.6475 ,16.70 ,   11.00
159.9175 , 12.7350 ,18.70 ,   10.40
161.7221 , 12.7444 ,18.90 ,   10.40
161.7533 , 12.9597 ,18.60 ,   10.40
161.7388 , 12.9983 ,17.50 ,   10.40
169.2542 , 13.0997 ,16.15 ,   10.30
162.5379 , 13.4836 ,19.10 ,   10.40
178.6792 ,-33.5581 ,16.60 ,    5.22
217.5208 ,-33.4792 ,18.43 ,    9.00
204.2525 ,-33.3631 ,17.30 ,    4.37
143.1892 ,-33.2456 ,16.40 ,    8.30
173.2958 ,-32.9619 ,16.27 ,    6.70
351.6146 ,-32.3906 ,13.89 ,    2.18
  3.8808 ,-32.1800 ,14.90 ,    1.92
200.3850 ,-31.8864 ,18.13 ,    4.60
300.9892 ,-31.6817 ,17.06 ,    7.83
172.8967 ,-31.6722 ,17.00 ,    6.70
200.2842 ,-31.5297 ,17.10 ,    5.22
201.1500 ,-30.9722 ,16.67 ,    4.63
201.6850 ,-30.3625 ,14.41 ,    4.97
204.1283 ,-29.2364 ,15.49 ,    5.25
205.0754 ,-28.8944 ,14.56 ,    4.41
116.5687 ,-28.4697 ,17.50 ,    3.00
193.7233 ,-28.3408 ,17.01 ,    5.78
204.3342 ,-28.0461 ,15.06 ,    4.61
 67.4200 ,-27.4086 ,14.45 ,    9.10
151.0167 ,-27.3319 ,16.19 ,    1.32
197.4025 ,-27.1406 ,15.09 ,    7.80
150.9592 ,-26.6128 ,15.68 ,   15.30
 96.5708 ,-26.2656 ,15.70 ,    4.99
 99.4858 ,-25.9997 ,14.01 ,    4.23
144.8958 ,-25.1264 ,15.50 ,    6.15
125.2529 ,-23.7814 ,16.06 ,   17.30
139.2417 ,-23.2797 ,15.84 ,   10.30
137.4442 ,-23.0092 ,15.63 ,    9.80
  7.8438 ,-22.7658 ,16.38 ,    9.90
 10.7658 ,-22.2503 ,14.90 ,    4.92
120.3558 ,-21.9975 ,17.20 ,    6.34
 12.4554 ,-21.0161 ,15.30 ,    3.34
140.7912 ,-20.1675 ,15.53 ,    7.52
 12.6025 ,-19.9069 ,16.44 ,    3.42
194.9846 ,-19.4131 ,16.50 ,    6.90
 12.3379 ,-18.0744 ,16.37 ,    3.40
292.4958 ,-17.6781 ,14.12 ,    1.04
195.5600 ,-17.2375 ,15.08 ,    7.30
296.2404 ,-14.8031 , 9.31 ,    0.50
