|name             |ra        |dec      |bmag |ks_mag|ks_mag_flag|linear_diameter|distance|radial_velocity|abs_bmag|
|CGMW1-260        |06 38 00.1|-15 01 22|13.70| 10.00|           |          13.13|   10.80|            746|   -18.3|
|NGC6822          |19 44 57.7|-14 48 11| 9.31|  6.00|           |           3.44|    0.50|            -57|   -15.2|
|LV J0935-1348    |09 35 21.6|-13 48 52|16.60| 14.08|C          |           0.91|    7.30|            796|   -12.9|
|DDO210           |20 46 51.8|-12 50 53|14.00| 11.29|           |           0.73|    0.94|           -140|   -11.1|
|KKSG19           |10 24 28.3|-12 25 57|16.79| 14.17|C          |           1.09|    5.11|            628|   -12.1|
|KKSG33           |12 40 08.9|-12 21 53|18.50| 14.22|C          |           1.44|    9.30|               |   -11.5|
|DDO153           |12 53 57.5|-12 06 31|14.59| 12.03|C          |           5.93|    8.00|            821|   -15.2|
|KKSG34           |12 41 18.9|-11 55 39|18.00| 13.69|C          |           1.99|    9.30|               |   -12.1|
|KKSG32           |12 39 55.0|-11 44 48|18.50| 14.21|C          |           1.72|    9.30|               |   -11.6|
|SUCD1            |12 40 03.1|-11 40 04|18.40| 14.70|           |           0.27|    9.30|           1305|   -11.5|
|NGC4594          |12 39 59.1|-11 37 23| 8.98|  4.96|           |          32.46|    9.30|           1090|   -21.8|
|NGC4700          |12 49 07.6|-11 24 41|12.63| 10.49|           |           8.49|    7.30|           1411|   -17.1|
|LV J1235-1104    |12 35 39.4|-11 04 02|15.70| 13.18|C          |           1.29|   10.00|           1110|   -14.5|
|Cetus            |00 26 11.0|-11 02 40|14.40| 10.19|C          |           1.10|    0.78|            -87|   -10.2|
|MCG-02-33-075    |12 58 28.3|-10 34 37|14.70| 11.80|           |           7.62|    8.70|           1267|   -15.2|
|KKSG29           |12 37 14.1|-10 29 51|16.54| 14.08|C          |           3.14|    7.70|            756|   -13.0|
|KKSG31           |12 38 33.7|-10 29 25|17.70| 13.48|C          |           2.22|    9.30|               |   -12.3|
|LV J0956-0929    |09 56 37.6|-09 29 11|15.89| 13.28|C          |           1.48|    5.18|            627|   -13.0|
|KKSG16           |09 59 47.5|-09 20 36|18.00| 13.62|C          |           2.67|    9.70|               |   -12.2|
|KKSG30           |12 37 35.9|-08 52 02|16.30| 13.82|C          |           2.31|    9.10|           1105|   -13.6|
|UGCA127sat       |06 20 54.8|-08 39 01|16.90| 11.32|C          |           3.51|    8.50|               |   -16.3|
|UGCA127          |06 20 55.7|-08 29 44|14.10|  8.31|           |          27.00|    8.50|            732|   -20.0|
|KKSG17           |10 01 38.4|-08 14 56|15.41| 12.82|C          |           4.65|    9.70|            446|   -14.8|
|KKSG18           |10 05 41.6|-07 58 53|13.61| 10.05|           |           4.45|    9.70|            698|   -16.6|
|WHI B0619-07     |06 22 13.8|-07 50 16|14.63|  9.51|C          |           7.17|    8.40|            759|   -17.8|
|KDG218           |13 05 44.0|-07 45 20|16.80| 12.52|C          |           2.73|    5.00|               |   -11.9|
|KDG065           |10 05 34.4|-07 44 57|16.36| 12.23|C          |           3.01|    9.70|            721|   -13.6|
